name,slug,norm_key,agency_name,aav_aa
Charlie Woerner,charlie-woerner,charlie woerner,"S6 Representation, LLC",4000000
Jaire Alexander,jaire-alexander,jaire alexander,Roc Nation,4000000
Anfernee Jennings,anfernee-jennings,anfernee jennings,Klutch Sports Group,4000000
Chukwuma Okorafor,chukwuma-okorafor,chukwuma okorafor,CAA,4000000
Mike White,mike-white,mike white,WIN Sports Group,4000000
Joshua Dobbs,joshua-dobbs,joshua dobbs,VaynerSports,4000000
Jason Myers,jason-myers,jason myers,International Sports Advisors,3862500
Chris Olave,chris-olave,chris olave,Rosenhaus Sports Representation,3854375
Amarius Mims,amarius-mims,amarius mims,Athletes First,3842890
Jared Verse,jared-verse,jared verse,WIN Sports Group,3783587
Christian Gonzalez,christian-gonzalez,christian gonzalez,CAA,3775717
Robert Jones,robert-jones,robert jones,Rosenhaus Sports Representation,3750000
Antonio Gibson,antonio-gibson,antonio gibson,Royalty Management Group,3750000
Nathan Shepherd,nathan-shepherd,nathan shepherd,The Sports & Entertainment Group,3750000
Adam Trautman,adam-trautman,adam trautman,Excel Sports Management,3750000
Zion Johnson,zion-johnson,zion johnson,LIFT Sports Management,3686670
Jeff Okudah,jeff-okudah,jeff okudah,Universal Sports & Entertainment Management,3682076
