name,pos_detail,team_full,fa_type,snap_pct,age,prior_apy,prior_gtd,team,pos_group,slug,low,high,midpoint,comp_count,comp_names,method
Kayvon Thibodeaux,EDGE,Giants,UFA,44.3,27.0,7834760.0,31339040.0,NYG,EDGE,kayvon-thibodeaux,4.8,23.8,8.8,16,"['Kingsley Enagbare (age 27, $9.0M)', 'Tyree Wilson (age 27, $6.3M)', 'Baron Browning (age 28, $7.5M)', 'Arnold Ebiketie (age 28, $4.3M)']","16 comps at EDGE, age 24.0-30.0"
Baron Browning,EDGE,Cardinals,UFA,45.3,28.0,7500000.0,10000000.0,ARI,EDGE,baron-browning,5.6,22.6,8.8,19,"['Arnold Ebiketie (age 28, $4.3M)', 'Will McDonald IV (age 28, $4.1M)', ""K'Lavon Chaisson (age 28, $11.0M)"", 'Malcolm Koonce (age 29, $11.0M)']","19 comps at EDGE, age 25.0-31.0"
Harrison Phillips,IDL,Jets,UFA,61.4,31.0,7500000.0,10266667.0,NYJ,IDL,harrison-phillips,7.7,22.4,12.2,18,"[""A'Shawn Robinson (age 32, $10.0M)"", 'Daron Payne (age 30, $22.5M)', 'Tedarrell Slaton (age 30, $7.0M)', 'Vita Vea (age 32, $17.8M)']","18 comps at IDL, age 28.0-34.0"
Colby Parkinson,TE,Rams,UFA,54.7,28.0,7500000.0,10250000.0,LAR,TE,colby-parkinson,4.0,11.5,9.0,8,"['Tommy Tremble (age 27, $5.2M)', 'Brock Wright (age 29, $4.0M)', 'Charlie Woerner (age 30, $4.0M)', 'Kyle Pitts (age 27, $15.0M)']","8 comps at TE, age 25.0-31.0"
Patrick Jones II,EDGE,Panthers,UFA,15.2,29.0,7500000.0,10250000.0,CAR,EDGE,patrick-jones-ii,5.5,22.5,8.8,23,"['Malcolm Koonce (age 29, $11.0M)', 'Arnold Ebiketie (age 28, $4.3M)', 'Anthony Nelson (age 30, $5.0M)', 'Baron Browning (age 28, $7.5M)']","23 comps at EDGE, age 26.0-32.0"
Blake Cashman,LB,Vikings,Void,73.8,31.0,7500000.0,9475000.0,MIN,LB,blake-cashman,7.3,15.3,9.3,11,"['Roquan Smith (age 30, $20.0M)', 'Fred Warner (age 30, $21.0M)', 'Foyesade Oluokun (age 30, $15.0M)', 'Jordyn Brooks (age 30, $8.8M)']","11 comps at LB, age 28.0-34.0"
Tony Pollard,RB,Titans,UFA,62.2,30.0,7250000.0,10490000.0,TEN,RB,tony-pollard,7.8,15.7,12.0,9,"['Christian McCaffrey (age 30, $19.0M)', 'Saquon Barkley (age 29, $20.6M)', ""D'Andre Swift (age 28, $8.0M)"", 'Derrick Henry (age 32, $16.0M)']","9 comps at RB, age 27.0-33.0"
Tedarrell Slaton,IDL,Bengals,UFA,53.4,30.0,7050000.0,5000000.0,CIN,IDL,tedarrell-slaton,8.7,19.5,12.7,14,"['Daron Payne (age 30, $22.5M)', 'Davon Hamilton (age 30, $11.5M)', 'Harrison Phillips (age 31, $7.5M)', 'Maliek Collins (age 32, $10.0M)']","14 comps at IDL, age 27.0-33.0"
Dallas Goedert,TE,Eagles,Void,74.7,32.0,7000000.0,7000000.0,PHI,TE,dallas-goedert,7.8,15.3,12.3,7,"['Hunter Henry (age 33, $9.0M)', 'George Kittle (age 33, $19.1M)', 'Mark Andrews (age 31, $14.0M)', 'T.J. Hockenson (age 30, $10.2M)']","7 comps at TE, age 29.0-35.0"
Aaron Brewer,C,Dolphins,Void,92.2,30.0,7000000.0,10215000.0,MIA,OL,aaron-brewer,6.9,21.9,15.0,25,"['Jon Runyan, Jr. (age 30, $10.0M)', 'Michael Onwenu (age 30, $19.0M)', 'Ryan Neuzil (age 30, $4.8M)', 'Frank Ragnow (age 30, $14.0M)']","25 comps at OL, age 27.0-33.0"
Davis Mills,QB,Texans,UFA,25.2,29.0,7000000.0,10250000.0,HOU,QB,davis-mills,36.0,44.0,42.0,13,"['Justin Fields (age 28, $11.0M)', 'Lamar Jackson (age 29, $52.0M)', 'Daniel Jones (age 29, $44.0M)', 'Joe Burrow (age 30, $55.0M)']","13 comps at QB, age 26.0-32.0"
Kevin Byard,S,Patriots,UFA,99.8,34.0,7000000.0,6170000.0,NE,S,kevin-byard,5.4,14.4,6.0,3,"['Derwin James (age 31, $19.0M)', 'Will Harris (age 32, $4.0M)', 'Malik Hooker (age 31, $5.0M)']","3 comps at S, age 31.0-37.0"
Marcus Mariota,QB,Commanders,UFA,48.4,34.0,7000000.0,6390000.0,WAS,QB,marcus-mariota,26.7,42.4,36.0,5,"['Jacoby Brissett (age 35, $6.2M)', 'Dak Prescott (age 33, $60.0M)', 'Jared Goff (age 32, $53.0M)', 'Baker Mayfield (age 32, $33.3M)']","5 comps at QB, age 31.0-37.0"
Divine Deablo,LB,Falcons,UFA,67.9,29.0,7000000.0,6660000.0,ATL,LB,divine-deablo,6.7,13.9,8.5,11,"['Mack Wilson (age 29, $4.2M)', 'Roquan Smith (age 30, $20.0M)', 'Fred Warner (age 30, $21.0M)', 'Patrick Queen (age 28, $13.7M)']","11 comps at LB, age 26.0-32.0"
Austin Jackson,RT,Dolphins,Void,31.6,28.0,7000000.0,5475000.0,MIA,OL,austin-jackson,5.2,15.6,10.4,23,"['Jaylon Moore (age 29, $15.0M)', 'Larry Borom (age 28, $5.0M)', 'Tristan Wirfs (age 28, $28.1M)', 'Andrew Thomas (age 28, $28.0M)']","23 comps at OL, age 25.0-31.0"
Zaven Collins,LB,Cardinals,UFA,47.4,28.0,7000000.0,11250000.0,ARI,LB,zaven-collins,5.5,11.5,7.0,11,"['Christian Elliss (age 28, $6.8M)', 'Isaiah McDuffie (age 28, $4.0M)', 'Mack Wilson (age 29, $4.2M)', 'Patrick Queen (age 28, $13.7M)']","11 comps at LB, age 25.0-31.0"
Ikem Ekwonu,LT,Panthers,UFA,88.9,27.0,6892013.0,27568050.0,CAR,OL,ikem-ekwonu,6.9,22.5,14.3,19,"['Rasheed Walker (age 27, $4.0M)', 'Creed Humphrey (age 27, $18.0M)', 'Tristan Wirfs (age 28, $28.1M)', 'Andrew Thomas (age 28, $28.0M)']","19 comps at OL, age 24.0-30.0"
Christian Elliss,LB,Patriots,UFA,49.5,28.0,6754000.0,7750000.0,NE,LB,christian-elliss,5.6,11.5,7.0,11,"['Zaven Collins (age 28, $7.0M)', 'Isaiah McDuffie (age 28, $4.0M)', 'Mack Wilson (age 29, $4.2M)', 'Patrick Queen (age 28, $13.7M)']","11 comps at LB, age 25.0-31.0"
Brandon Jones,S,Broncos,UFA,77.5,29.0,6666667.0,11000000.0,DEN,S,brandon-jones,5.0,17.3,9.8,10,"['Minkah Fitzpatrick (age 29, $18.4M)', 'Jeremy Chinn (age 29, $8.1M)', 'Grant Delpit (age 29, $12.0M)', 'Antoine Winfield Jr. (age 28, $21.0M)']","10 comps at S, age 26.0-32.0"
Donte Jackson,CB,Chargers,UFA,58.9,32.0,6500000.0,7000000.0,LAC,CB,donte-jackson,4.2,15.5,4.8,9,"['Kenny Moore (age 32, $10.0M)', 'Chidobe Awuzie (age 32, $5.0M)', 'Marlon Humphrey (age 31, $19.5M)', 'Marshon Lattimore (age 30, $19.4M)']","9 comps at CB, age 29.0-35.0"
