Player,Pos.,2026 Team,2027 Team,Type,Snaps,Age,Current APY,Guarantees
Andrew Wingard,S,Cardinals,,UFA,87.70%,31,"$3,000,000 ","$1,850,000 "
Ar'Darius Washington,S,Giants,,UFA,5.40%,28,"$3,000,000 ","$1,500,000 "
Da'Shawn Hand,EDGE,Falcons,,UFA,44.30%,32,"$3,000,000 ","$1,500,000 "
Justice Hill,RB,Ravens,,UFA,21.60%,30,"$3,000,000 ","$4,441,176 "
Felix Anudike-Uzomah,EDGE,Chiefs,,UFA,0.00%,25,"$2,954,455 ","$11,817,820 "
Christen Miller,IDL,Saints,,ERFA,0.00%,,"$2,948,906 ",$0 
Daxton Hill,CB,Bengals,,UFA,92.90%,27,"$2,916,755 ","$11,667,018 "
Jacob Rodriguez,LB,Dolphins,,ERFA,0.00%,,"$2,901,712 ",$0 
Kyle Hinton,RG,Falcons,,UFA,16.90%,29,"$2,875,000 ","$2,575,000 "
Derrick Moore,EDGE,Lions,,ERFA,0.00%,,"$2,856,737 ",$0 
Zion Young,EDGE,Ravens,,ERFA,0.00%,,"$2,793,742 ",$0 
Denzel Perryman,LB,Chargers,,UFA,29.30%,35,"$2,790,000 ","$500,000 "
Samson Ebukam,EDGE,Falcons,,UFA,35.70%,32,"$2,765,000 ","$700,000 "
Michael Carter II,CB,Eagles,,Void,22.20%,28,"$2,765,000 ","$1,450,000 "
Danny Pinter,C,Ravens,,UFA,12.90%,31,"$2,750,000 ","$1,500,000 "
Lacale London,IDL,Falcons,,UFA,24.50%,30,"$2,750,000 ","$750,000 "
Troy Dye,LB,Chargers,,UFA,46.50%,31,"$2,750,000 ","$3,000,000 "
Luke Fortner,C,Panthers,,UFA,60.30%,29,"$2,750,000 ","$1,325,000 "
Darian Kinnard,RT,Packers,,UFA,27.10%,28,"$2,750,000 ","$1,000,000 "
Christian Harris,LB,Falcons,,UFA,8.90%,26,"$2,750,000 ","$1,985,000 "
Otito Ogbonnia,IDL,Cowboys,,UFA,13.60%,27,"$2,750,000 ","$2,000,000 "
Malcolm Rodriguez,LB,Lions,,UFA,6.50%,28,"$2,750,000 ","$2,700,000 "
Josiah Trotter,LB,Buccaneers,,ERFA,0.00%,,"$2,725,898 ",$0 
Akeem Davis-Gaither,LB,Colts,,UFA,68.20%,30,"$2,725,000 ","$1,500,000 "
M.J. Stewart,S,Texans,,UFA,21.90%,32,"$2,700,000 ","$500,000 "
Mo Alie-Cox,TE,Colts,,UFA,39.10%,34,"$2,687,500 ","$2,187,500 "
Tommy Togiai,IDL,Texans,,UFA,44.20%,28,"$2,680,000 ","$2,295,000 "
Jake Hansen,LB,Texans,,UFA,0.90%,29,"$2,675,000 ","$1,650,000 "
Germie Bernard,WR,Steelers,,ERFA,0.00%,,"$2,636,220 ",$0 
Elijah Hicks,S,Bears,,UFA,5.80%,28,"$2,600,000 ","$1,687,500 "
Avieon Terrell,CB,Falcons,,ERFA,0.00%,,"$2,577,224 ",$0 
Julian Blackmon,S,Saints,,UFA,6.00%,29,"$2,535,000 ","$1,000,000 "
Lee Hunter,IDL,Panthers,,ERFA,0.00%,,"$2,518,224 ",$0 
Evan Brown,RG,Texans,,UFA,67.80%,31,"$2,500,000 ","$1,000,000 "
Hunter Long,TE,Jaguars,,UFA,22.40%,29,"$2,500,000 ","$3,000,000 "
Andre Cisco,S,Jets,,UFA,44.20%,27,"$2,500,000 ","$1,250,000 "
Oren Burks,LB,Bengals,,UFA,31.20%,32,"$2,500,000 ","$750,000 "
Rigoberto Sanchez,P,Colts,,UFA,30.70%,33,"$2,500,000 ","$2,500,000 "
Skyy Moore,WR,Packers,,UFA,9.80%,27,"$2,500,000 ","$1,000,000 "
Brock Hoffman,RG,Steelers,,UFA,40.00%,28,"$2,500,000 ","$750,000 "
Alec Anderson,RT,Bills,,UFA,16.70%,28,"$2,500,000 ","$1,800,000 "
Sam Howell,QB,Cowboys,,UFA,0.00%,27,"$2,500,000 ","$2,500,000 "
Justin Watson,WR,Texans,,UFA,5.90%,31,"$2,500,000 ","$3,000,000 "
Brian Robinson Jr.,RB,Falcons,,UFA,20.50%,28,"$2,500,000 ","$775,000 "
Eric Saubert,TE,Seahawks,,UFA,25.60%,33,"$2,500,000 ","$788,888 "
Trey Lance,QB,Chargers,,UFA,8.70%,27,"$2,500,000 ","$2,000,000 "
Josh Blackwell,CB,Bears,,UFA,0.30%,28,"$2,500,000 ","$2,450,000 "
Sam Williams,EDGE,Cowboys,,UFA,42.80%,28,"$2,500,000 ","$2,000,000 "
Ty Johnson,RB,Bills,,UFA,29.60%,30,"$2,500,000 ","$2,490,000 "
Tyrod Taylor,QB,Packers,,UFA,24.00%,38,"$2,500,000 ","$700,000 "
Drew Lock,QB,Seahawks,,UFA,3.50%,31,"$2,500,000 ","$2,250,000 "
Brett Toth,LT,49ers,,UFA,34.40%,31,"$2,500,000 ","$2,215,000 "
D'Angelo Ponds,CB,Jets,,ERFA,0.00%,,"$2,459,230 ",$0 
Joey Porter Jr.,CB,Steelers,,UFA,76.80%,27,"$2,404,587 ","$8,999,870 "
Jake Golday,LB,Vikings,,ERFA,0.00%,,"$2,400,233 ",$0 
Andrew Billings,IDL,Cardinals,,UFA,47.60%,32,"$2,400,000 ","$700,000 "
Will Levis,QB,Titans,,UFA,0.00%,28,"$2,385,541 ","$8,730,957 "
Sam LaPorta,TE,Lions,,UFA,47.00%,26,"$2,366,500 ","$7,825,179 "
Treylon Burks,WR,Commanders,,UFA,27.70%,27,"$2,350,000 ","$400,000 "
Brandon Cisse,CB,Packers,,ERFA,0.00%,,"$2,341,236 ",$0 
Michael Mayer,TE,Raiders,,UFA,46.80%,26,"$2,328,410 ","$7,596,697 "
Steve Avila,LG,Rams,,UFA,73.70%,28,"$2,313,177 ","$7,442,147 "
Sam Okuayinonu,EDGE,49ers,,UFA,53.00%,29,"$2,300,000 ","$1,800,000 "
