Player,Pos.,2026 Team,2027 Team,Type,Snaps,Age,Current APY,Guarantees
Gage Larvadain,WR,Browns,,ERFA,17.20%,24,"$922,500 ",$0 
Dalen Cambre,WR,Giants,,ERFA,1.40%,26,"$922,500 ",$0 
Carter Runyon,TE,Raiders,,ERFA,4.50%,26,"$922,500 ",$0 
Kingsley Eguakun,C,Browns,,ERFA,12.60%,26,"$922,500 ",$0 
Cam Miller,QB,Dolphins,,ERFA,0.00%,26,"$922,500 ",$0 
Patrick Herbert,TE,Jaguars,,ERFA,0.00%,27,"$918,667 ","$33,667 "
Isaac Alarcon,LT,49ers,,ERFA,0.00%,29,"$885,000 ",$0 
Brandon Smith,WR,Steelers,,ERFA,0.80%,29,"$885,000 ",$0 
Lew Nichols III,RB,Steelers,,ERFA,0.00%,26,"$885,000 ",$0 
Haggai Chisom Ndubuisi,IDL,Buccaneers,,ERFA,0.00%,27,"$885,000 ",$0 
Sal Cannella,TE,Browns,,ERFA,2.70%,31,"$885,000 ",$0 
Courtney Jackson,WR,Giants,,ERFA,0.00%,26,"$885,000 ",$0 
Tyrone Broden,WR,Seahawks,,ERFA,0.00%,26,"$885,000 ",$0 
Ulysses Bentley IV,RB,Colts,,ERFA,0.20%,27,"$885,000 ",$0 
Tyler Cooper,LG,Commanders,,ERFA,0.00%,26,"$885,000 ",$0 
Jack Conley,RG,Browns,,ERFA,0.00%,26,"$885,000 ",$0 
Gerad Christian-Lichtenhan,LT,Ravens,,ERFA,0.00%,26,"$885,000 ",$0 
Dalevon Campbell,WR,Chargers,,ERFA,0.80%,26,"$885,000 ",$0 
Logan Brown,RT,Seahawks,,ERFA,0.00%,26,"$885,000 ",$0 
Ja'Corey Brooks,WR,Commanders,,ERFA,0.70%,26,"$885,000 ",$0 
Kam Arnold,LB,Chiefs,,ERFA,0.00%,25,"$885,000 ",$0 
Eli Cox,C,Texans,,ERFA,0.00%,27,"$885,000 ",$0 
Andrew Armstrong,WR,Chiefs,,ERFA,0.00%,27,"$885,000 ",$0 
Laki Tasi,IDL,Raiders,,ERFA,0.00%,24,"$885,000 ",$0 
Mapalo Mwansa,EDGE,Panthers,,ERFA,0.00%,23,"$885,000 ",$0 
Luke Lachey,TE,Texans,,ERFA,0.00%,26,"$885,000 ",$0 
Junior Bergen,WR,49ers,,ERFA,0.00%,25,"$885,000 ",$0 
Ricky White,WR,Seahawks,,ERFA,1.20%,25,"$885,000 ",$0 
Damien Martinez,RB,Packers,,ERFA,0.00%,23,"$885,000 ",$0 
Marques Cox,LT,Broncos,,ERFA,0.00%,28,"$885,000 ",$0 
TeRah Edwards,IDL,Chargers,,ERFA,0.00%,26,"$885,000 ",$0 
Branson Taylor,LT,Chargers,,ERFA,6.20%,25,"$885,000 ",$0 
Reid Holskey,RT,Giants,,ERFA,0.00%,25,"$885,000 ",$0 
Montrell Johnson Jr.,RB,Panthers,,ERFA,0.00%,25,"$885,000 ",$0 
Tysheem Johnson,S,Falcons,,ERFA,0.00%,25,"$885,000 ",$0 
Amar Johnson,RB,Chargers,,ERFA,0.30%,24,"$885,000 ",$0 
Ja'Quinden Jackson,RB,Jaguars,,ERFA,0.00%,26,"$885,000 ",$0 
Max Hurleman,S,Steelers,,ERFA,0.00%,26,"$885,000 ",$0 
Maxen Hook,S,Seahawks,,ERFA,0.00%,26,"$885,000 ",$0 
Seth Henigan,QB,Colts,,ERFA,0.00%,24,"$885,000 ",$0 
Dontae Fleming,WR,Vikings,,ERFA,0.00%,26,"$885,000 ",$0 
Jack Henderson,S,Steelers,,ERFA,0.00%,26,"$885,000 ",$0 
Bryson Green,WR,Cardinals,,ERFA,0.00%,25,"$885,000 ",$0 
Joshua Gray,LG,Panthers,,ERFA,0.00%,27,"$885,000 ",$0 
J.J. Galbreath,TE,Steelers,,ERFA,0.00%,26,"$885,000 ",$0 
Jalan Gaines,EDGE,Seahawks,,ERFA,0.00%,26,"$885,000 ",$0 
Trace Ford,EDGE,Giants,,ERFA,0.00%,26,"$885,000 ",$0 
Luke Floriea,WR,Browns,,ERFA,0.00%,26,"$885,000 ",$0 
Antwaun Powell-Ryland,EDGE,Bengals,,ERFA,0.00%,25,"$885,000 ",$0 
Tim Smith,IDL,Colts,,ERFA,0.00%,25,"$885,000 ",$0 
Josh Kaltenberger,C,Chargers,,ERFA,0.00%,26,"$885,000 ",$0 
Dayton Wade,WR,Ravens,,ERFA,0.00%,27,"$885,000 ",$0 
James Ester,IDL,Packers,,ERFA,0.00%,26,"$885,000 ",$0 
Jabari Small,RB,Lions,,ERFA,0.00%,25,"$885,000 ",$0 
Isaiah Wooden,WR,Browns,,ERFA,0.00%,27,"$885,000 ",$0 
Emany Johnson,S,Chargers,,ERFA,0.00%,27,"$885,000 ",$0 
Drake Nugent,C,49ers,,ERFA,0.00%,26,"$885,000 ",$0 
Doug Nester,LT,Steelers,,ERFA,0.00%,27,"$885,000 ",$0 
Cole Burgess,WR,Steelers,,ERFA,0.00%,27,"$885,000 ",$0 
Jeshaun Jones,WR,Vikings,,ERFA,0.00%,28,"$885,000 ",$0 
Ben Nikkel,S,Colts,,ERFA,0.00%,26,"$885,000 ",$0 
Andrew Coker,LT,Bengals,,ERFA,0.00%,26,"$885,000 ",$0 
A.J. Woods,CB,Falcons,,ERFA,0.00%,26,"$885,000 ",$0 
Cornelius Johnson,WR,Ravens,,ERFA,0.00%,27,"$885,000 ",$0 
LaDarius Henderson,LG,Colts,,ERFA,0.00%,26,"$885,000 ",$0 
Marcus Harris,IDL,Chiefs,,ERFA,0.00%,27,"$885,000 ",$0 
Daequan Hardy,CB,Steelers,,ERFA,0.00%,26,"$885,000 ",$0 
JaQuae Jackson,WR,Chargers,,ERFA,0.00%,27,"$885,000 ",$0 
Jordan Miller,IDL,Broncos,,ERFA,0.00%,27,"$885,000 ",$0 
Kyle McCord,QB,Packers,,ERFA,0.00%,25,"$885,000 ",$0 
Xavier Johnson,WR,Bengals,,ERFA,0.00%,28,"$885,000 ",$0 
Chris Paul Jr.,LG,Seahawks,,ERFA,0.00%,25,"$885,000 ",$0 
TJ Maguranyanga,TE,Commanders,,ERFA,0.00%,25,"$885,000 ",$0 
Elliott Brown,EDGE,Cardinals,,ERFA,0.00%,29,"$885,000 ",$0 
Jamie Sheriff,LB,Seahawks,,ERFA,0.00%,27,"$885,000 ",$0 
Qadir Ismail,WR,Bears,,RFA,0.00%,27,"$885,000 ",$0 
Bayron Matos,LT,Colts,,ERFA,0.00%,27,"$885,000 ",$0 
David Olajiga,IDL,Ravens,,ERFA,0.00%,30,"$885,000 ",$0 
Thomas Yassmin,TE,Chargers,,ERFA,0.00%,27,"$885,000 ",$0 
Julius Welschof,EDGE,Steelers,,ERFA,0.00%,30,"$885,000 ",$0 
Steven Jones,LG,Steelers,,ERFA,0.00%,27,"$885,000 ",$0 
Nik Constantinou,P,Browns,,ERFA,0.00%,28,"$885,000 ",$0 
Mark Perry,S,Packers,,ERFA,0.00%,26,"$885,000 ",$0 
Lorenzo Thompson,LT,Steelers,,ERFA,0.00%,27,"$885,000 ",$0 
Kyler Baugh,IDL,Steelers,,ERFA,0.00%,26,"$885,000 ",$0 
Keni-H Lovely,CB,Jaguars,,ERFA,0.00%,27,"$885,000 ",$0 
Karsen Barnhart,LG,Packers,,ERFA,0.00%,26,"$885,000 ",$0 
Nash Jones,LG,Broncos,,ERFA,0.00%,25,"$885,000 ",$0 
Josh Kelly,WR,Texans,,ERFA,0.00%,26,"$885,000 ",$0 
Lorenz Metz,RG,Patriots,,ERFA,0.00%,30,"$885,000 ",$0 
Jared Bartlett,LB,Panthers,,ERFA,0.00%,26,"$885,000 ",$0 
J.P. Richardson,WR,Bears,,ERFA,0.00%,25,"$885,000 ",$0 
Jacob Bayer,C,Bengals,,ERFA,0.00%,25,"$885,000 ",$0 
Bryce Pierre,TE,Panthers,,ERFA,0.00%,26,"$885,000 ",$0 
Anthony Tyus III,RB,Panthers,,ERFA,0.00%,24,"$885,000 ",$0 
Zach Horton,TE,Lions,,ERFA,1.00%,25,"$885,000 ",$0 
Coleman Owen,WR,Colts,,ERFA,0.10%,26,"$885,000 ",$0 
Xavier Guillory,WR,Ravens,,ERFA,0.00%,26,"$885,000 ",$0 
Ahmani Marshall,RB,Browns,,ERFA,0.00%,25,"$885,000 ",$0 
Bubba Thomas,IDL,Seahawks,,ERFA,0.00%,27,"$885,000 ",$0 
J.R. Singleton,IDL,Seahawks,,ERFA,0.00%,25,"$885,000 ",$0 
Drake Dabney,TE,Packers,,ERFA,4.90%,25,"$885,000 ",$0 
Jimmy Holiday,WR,Chiefs,,ERFA,0.10%,26,"$885,000 ",$0 
Garmon Randolph,EDGE,Chargers,,ERFA,0.00%,27,"$885,000 ",$0 
Chandler Brayboy,WR,Jaguars,,ERFA,0.00%,26,"$885,000 ",$0 
Aiden Williams,RG,Steelers,,ERFA,0.00%,27,"$885,000 ",$0 
Dante Barnett,IDL,Packers,,ERFA,0.00%,24,"$885,000 ",$0 
Joaquin Davis,WR,Vikings,,ERFA,0.00%,25,"$885,000 ",$0 
Jalen Kimber,CB,Bengals,,ERFA,0.00%,26,"$885,000 ",$0 
Vershon Lee,RG,Vikings,,ERFA,0.00%,26,"$885,000 ",$0 
Jerome Carvin,LG,Jaguars,,ERFA,0.00%,27,"$885,000 ",$0 
Kilian Zierer,RT,Jaguars,,ERFA,0.00%,29,"$885,000 ",$0 
Dalton Wagner,RT,Raiders,,ERFA,0.20%,29,"$885,000 ",$0 
Garrett Nelson,EDGE,Broncos,,ERFA,0.00%,27,"$885,000 ",$0 
Jeremiah Martin,EDGE,Bears,,ERFA,0.00%,27,"$885,000 ",$0 
Thomas Gordon,TE,Lions,,ERFA,0.00%,,"$885,000 ",$0 
Will Sheppard,WR,Packers,,ERFA,0.00%,,"$885,000 ",$0 
Anthony Campbell,IDL,Packers,,ERFA,0.00%,27,"$885,000 ",$0 
Treven Ma'ae,IDL,Raiders,,ERFA,0.00%,26,"$885,000 ",$0 
Derrick Canteen,CB,49ers,,ERFA,0.00%,26,"$885,000 ",$0 
Montorie Foster,WR,Seahawks,,ERFA,0.00%,26,"$885,000 ",$0 
Mehki Butler,RG,Patriots,,ERFA,0.00%,26,"$885,000 ",$0 
Robert McDaniel,S,Commanders,,ERFA,0.00%,27,"$885,000 ",$0 
Jacoby Jones,WR,Commanders,,ERFA,1.00%,26,"$885,000 ",$0 
Jeremiah Webb,WR,Patriots,,ERFA,0.00%,26,"$885,000 ",$0 
Brandon Crossley,CB,Patriots,,ERFA,0.00%,26,"$885,000 ",$0 
Isaiah Neyor,WR,Packers,,ERFA,0.00%,26,"$885,000 ",$0 
Car'lin Vigers,CB,Commanders,,ERFA,0.00%,27,"$885,000 ",$0 
Ricky Barber,IDL,Commanders,,ERFA,2.80%,26,"$885,000 ",$0 
Bryson Nesbit,TE,Vikings,,ERFA,0.00%,25,"$885,000 ",$0 
Marquise Robinson,CB,Ravens,,ERFA,0.00%,25,"$885,000 ",$0 
Jahvaree Ritzie,IDL,Steelers,,ERFA,0.00%,24,"$885,000 ",$0 
Mike Reid,CB,Panthers,,ERFA,0.00%,25,"$885,000 ",$0 
Caden Prieskorn,TE,Browns,,ERFA,0.00%,28,"$885,000 ",$0 
Jared Penning,LT,Ravens,,ERFA,0.00%,27,"$885,000 ",$0 
Eli Pancol,WR,Colts,,ERFA,0.00%,27,"$885,000 ",$0 
Nick Nash,WR,Commanders,,ERFA,0.00%,28,"$885,000 ",$0 
Keivie Rose,IDL,Jaguars,,ERFA,0.00%,27,"$885,000 ",$0 
Jabbar Muhammad,CB,Jaguars,,ERFA,0.00%,26,"$885,000 ",$0 
Jamil Muhammad,EDGE,Panthers,,ERFA,0.00%,26,"$885,000 ",$0 
Jordan Moore,WR,Bengals,,ERFA,0.00%,25,"$885,000 ",$0 
Mason Miller,RT,Lions,,ERFA,0.00%,26,"$885,000 ",$0 
Jackson Meeks,WR,Lions,,ERFA,0.50%,24,"$885,000 ",$0 
Seth McLaughlin,C,Lions,,ERFA,0.00%,26,"$885,000 ",$0 
Dontae Manning,CB,Bears,,ERFA,0.00%,26,"$885,000 ",$0 
Jaden Robinson,CB,Broncos,,ERFA,0.00%,27,"$885,000 ",$0 
Kaimon Rucker,EDGE,Ravens,,ERFA,0.00%,25,"$885,000 ",$0 
Tim McKay,RG,Commanders,,ERFA,0.00%,25,"$885,000 ",$0 
Luke Elkin,LS,Bears,,ERFA,0.00%,25,"$885,000 ",$0 
Jacardia Wright,RB,Seahawks,,ERFA,0.50%,27,"$885,000 ",$0 
Federico Maranges,C,Seahawks,,ERFA,0.00%,26,"$885,000 ",$0 
Luke Grimm,WR,Chargers,,ERFA,0.00%,26,"$885,000 ",$0 
Dalton Cooper,LT,Packers,,ERFA,0.00%,26,"$885,000 ",$0 
Trevian Thomas,S,Jaguars,,ERFA,0.00%,25,"$885,000 ",$0 
Caleb Etienne,RT,Vikings,,ERFA,0.00%,26,"$885,000 ",$0 
Jaseem Reed,WR,Panthers,,ERFA,0.00%,24,"$885,000 ",$0 
Sal Wormley,RG,Jaguars,,ERFA,0.00%,26,"$885,000 ",$0 
Lucas Scott,RT,Ravens,,ERFA,0.00%,24,"$885,000 ",$0 
Kristian Williams,IDL,Broncos,,ERFA,0.00%,27,"$885,000 ",$0 
Isas Waxter,CB,Chargers,,ERFA,0.00%,26,"$885,000 ",$0 
Tre Watson,TE,Chiefs,,ERFA,0.00%,25,"$885,000 ",$0 
DJ Uiagalelei,QB,Chargers,,ERFA,0.00%,26,"$885,000 ",$0 
Junior Tafuna,IDL,Texans,,ERFA,0.00%,26,"$885,000 ",$0 
Doneiko Slaughter,CB,Steelers,,ERFA,0.00%,26,"$885,000 ",$0 
Joshua Simon,TE,Falcons,,ERFA,0.00%,27,"$885,000 ",$0 
Kendell Brooks,S,Titans,,ERFA,14.50%,27,"$882,500 ",$0 
Calais Campbell,EDGE,Ravens,,UFA,45.70%,41,$0 ,$0 
